Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1,11,0.5908,32.49,8599.0,0.0037549999999999997,0.999969,A1BG ACR ANHX MZF1 SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZSCAN22,"regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process|regulation of RNA metabolic process",7.232e-06|6.558e-05|6.573e-05|6.644e-05|0.0001156,0.1141|0.5173|0.3456|0.262|0.3646,5.792|4.324|4.323|4.316|4.007
2,23,0.49,124.0,18380.0,0.006683,1.0,A1CF AGAP5 AGAP9 ANXA8L1 CALHM3 CFAP70 DUPD1 DUSP13 GPRIN2 HKDC1 IFIT1B NUTM2A NUTM2B PTPN20 SFTPA1 SFTPA2 SYNPO2L SYT15 UNC5B WASHC2C ZNF239 ZNF32 ZNF33B,peptidyl-tyrosine dephosphorylation|respiratory gaseous exchange by respiratory system|protein dephosphorylation|dephosphorylation|negative regulation of barbed-end actin filament capping,0.0002357|0.001526|0.001789|0.005347|0.005566,1|1|1|1|1,25.34|35.82|12.44|8.395|223.9
3,8,0.6041,16.91,6174.0,0.002725,0.9996790000000001,A2M CLEC6A GYS2 PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1,sodium-independent organic anion transport|bile acid and bile salt transport|organic hydroxy compound transport|monocarboxylic acid transport|carboxylic acid transport,4.507e-11|6.848e-10|2.107e-07|2.162e-07|1.495e-06,7.11e-07|5.401e-06|0.001108|0.0008527|0.004718,643.6|302.9|68.2|67.75|41.36
4,7,0.6371,13.38,4921.0,0.002704,0.9992989999999999,DUS2 METTL1 NSUN2 PUS3 THUMPD1 TRMT1 XPOT,tRNA modification|tRNA processing|RNA modification|tRNA metabolic process|ncRNA processing,1.754e-18|3.321e-17|2.366e-16|3.857e-16|3.588e-13,2.766e-14|2.62e-13|1.244e-12|1.521e-12|1.132e-09,203.4|138.7|107.7|101.1|42.38
5,80,0.331,1046.0,61270.0,0.01675,1.0,ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 CACNA1I CBY1 CCDC116 CCDC157 COMT CRYBA4 CRYBB1 CRYBB3 CYTH4 DGCR6 DGCR6L DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SPECC1L SUSD2 TBC1D10A TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74,pyrimidine nucleoside catabolic process|DNA cytosine deamination|cytidine metabolic process|cytidine catabolic process|cytidine deamination,2.057e-11|2.323e-11|5.353e-11|5.353e-11|5.353e-11,3.245e-07|1.832e-07|2.814e-07|2.111e-07|1.689e-07,77.38|152.6|127.1|127.1|127.1
6,18,0.5551,84.93,11820.0,0.007111,1.0,AAAS AHCTF1 CDCA3 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201,intracellular transport of virus|transport of virus|tRNA-containing ribonucleoprotein complex export from nucleus|tRNA export from nucleus|multi-organism localization,1.308e-32|5.942e-32|6.164e-32|6.164e-32|8.9e-32,2.063e-28|4.687e-28|3.241e-28|2.431e-28|2.808e-28,296.6|262.6|437.5|437.5|254.3
7,4,0.6163,3.698,3353.0,0.001099,0.9929309999999999,AACS ADAMTS3 DISP1 TRAFD1,regulation of protein secretion|response to oleic acid|positive regulation of vascular endothelial growth factor signaling pathway|regulation of peptide secretion|vascular endothelial growth factor production,0.001132|0.001359|0.001359|0.001388|0.001553,1|1|1|1|1,36.26|858.1|858.1|32.69|735.5
8,4,0.6517,3.91,3137.0,0.001242,0.9929309999999999,AADAC CPA3 FGF12 TFDP2,regulation of neuronal action potential|regulation of voltage-gated sodium channel activity|positive regulation of triglyceride catabolic process|angiotensin maturation|regulation of angiotensin levels in blood,0.001456|0.00194|0.002425|0.003152|0.003152,1|1|1|1|1,823.8|588.4|457.7|343.3|343.3
9,26,0.6754,219.5,17550.0,0.012320000000000001,1.0,ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5,"retrograde transport, endosome to plasma membrane|vesicle-mediated transport|endosomal transport|vesicle-mediated transport to the plasma membrane|Arp2/3 complex-mediated actin nucleation",1.376e-14|6.052e-12|9.556e-12|1.583e-11|1.106e-10,2.171e-10|4.773e-08|5.024e-08|6.243e-08|3.49e-07,198|6.877|30.6|66.01|198
10,8,0.6176,17.29,6370.0,0.0027010000000000003,0.9996790000000001,AAED1 C9orf3 FBP1 FBP2 GNA14 MUSK ZNF510 ZNF782,"sucrose biosynthetic process|sucrose metabolic process|disaccharide biosynthetic process|fructose 1,6-bisphosphate metabolic process|disaccharide metabolic process",7.913e-07|1.319e-06|2.768e-06|7.244e-06|1.027e-05,0.01248|0.0104|0.01455|0.02856|0.0324,2574|1716|1030|572.1|468.1
