Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1,14,0.5014,45.62,10880.0,0.004164,0.9999969999999999,A1BG ACR ANHX MZF1 PGBD2 RABL2B SLC27A5 ZBTB45 ZNF132 ZNF324 ZNF324B ZNF497 ZNF891 ZSCAN22,"regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process|regulation of RNA metabolic process",8.655e-06|9.608e-05|9.63e-05|9.743e-05|0.0001775,0.1365|0.7578|0.5064|0.3842|0.56,5.12|3.822|3.821|3.815|3.542
2,47,0.3075,332.4,37330.0,0.008806,1.0,A1CF AGAP5 AGAP6 AGAP9 ANK3 ANXA8L1 CALHM3 CFAP70 COMTD1 CXCL12 CYP2C19 CYP2C8 CYP2C9 DKK1 DUPD1 DUSP13 FAM25A GDF2 GPRIN2 HKDC1 IFIT1 IFIT1B IFIT2 IFIT5 LIPA LIPJ LRRC18 NUTM2A NUTM2B PTPN20 RET SAMD8 SFTPA1 SFTPA2 SHLD2 SORCS1 SYNPO2L SYT15 TMEM72 UNC5B WASHC2C ZNF22 ZNF239 ZNF32 ZNF33B ZNF37A ZNF485,omega-hydroxylase P450 pathway|epoxygenase P450 pathway|cellular response to type I interferon|exogenous drug catabolic process|response to type I interferon,2.399e-06|1.898e-05|2.288e-05|2.773e-05|3.127e-05,0.03784|0.1497|0.1203|0.1093|0.09866,146.1|65.73|25.4|57.16|23.37
3,15,0.5026,52.77,11700.0,0.004477,0.999999,A2M CLEC12B CLEC2B CLEC4D CLEC6A GALNT8 GYS2 KCNA6 KLRC1 PKP2 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 TAS2R20,sodium-independent organic anion transport|bile acid and bile salt transport|regulation of innate immune response|organic hydroxy compound transport|monocarboxylic acid transport,8.739e-10|1.321e-08|2.207e-06|3.938e-06|4.04e-06,1.379e-05|0.0001042|0.01161|0.01553|0.01275,343.2|161.5|22|36.37|36.13
4,9,0.5168,18.6,6111.0,0.0030269999999999997,0.9998530000000001,CTU2 DUS2 METTL1 NR2C2AP NSUN2 PUS3 THUMPD1 TRMT1 XPOT,tRNA modification|tRNA processing|RNA modification|tRNA metabolic process|ncRNA processing,5.127e-20|1.38e-18|1.246e-17|2.155e-17|4.601e-14,8.087e-16|1.089e-14|6.553e-14|8.5e-14|1.452e-10,187.2|127.7|99.12|93.1|39.01
5,5,0.512,5.12,3794.0,0.001344,0.996692,A3GALT2 DIS3L2 HBS1L NYAP1 TUT7,polyuridylation-dependent mRNA catabolic process|nuclear-transcribed mRNA catabolic process|mRNA catabolic process|miRNA metabolic process|RNA catabolic process,4.712e-07|8.754e-06|1.167e-05|1.19e-05|1.714e-05,0.007432|0.06905|0.06135|0.04693|0.05407,2746|63.05|57.21|392.3|50.23
6,85,0.3195,1141.0,65140.0,0.017169999999999998,1.0,ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 CACNA1I CBY1 CCDC116 CCDC157 COMT CRYBA4 CRYBB1 CRYBB2 CRYBB3 CYTH4 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 LRRC75B MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SEPT5 SGSM1 SIRPA SLC5A1 SLC5A4 SPECC1L SUSD2 SYNGR1 TBC1D10A TCN2 TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74,pyrimidine nucleoside catabolic process|DNA cytosine deamination|cytidine metabolic process|cytidine catabolic process|cytidine deamination,3.43e-11|3.6e-11|8.289e-11|8.289e-11|8.289e-11,5.41e-07|2.839e-07|4.358e-07|3.269e-07|2.615e-07,72.05|142|118.4|118.4|118.4
7,4,0.5279,3.167,3187.0,0.0009904999999999998,0.9929309999999999,A4GNT CASR IFT80 KATNAL2,negative regulation of epithelial cell proliferation|connective tissue development|articular cartilage development|ossification|osteoblast proliferation,0.0002462|0.000578|0.0007766|0.0009653|0.001165,1|1|1|1|1,78.61|50.98|1716|39.3|1030
8,19,0.5355,91.57,12560.0,0.007215000000000001,1.0,AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201,intracellular transport of virus|tRNA-containing ribonucleoprotein complex export from nucleus|tRNA export from nucleus|transport of virus|multi-organism localization,4.954e-32|1.948e-31|1.948e-31|2.25e-31|3.37e-31,7.815e-28|1.536e-27|1.024e-27|8.874e-28|1.063e-27,281|414.5|414.5|248.8|240.9
9,5,0.5686,5.686,4194.0,0.001351,0.996692,AACS ADAMTS3 DISP1 GNG4 TRAFD1,response to oleic acid|positive regulation of vascular endothelial growth factor signaling pathway|regulation of protein secretion|vascular endothelial growth factor production|cellular response to testosterone stimulus,0.001698|0.001698|0.001868|0.00194|0.002183,1|1|1|1|1,686.5|686.5|29.01|588.4|514.9
10,11,0.5294,29.12,8847.0,0.003273,0.999969,AADAC ARHGEF26 CPA3 CPB1 GPR87 P2RY14 PLSCR1 PLSCR2 TFDP2 TM4SF18 TM4SF4,G protein-coupled purinergic nucleotide receptor signaling pathway|plasma membrane phospholipid scrambling|phospholipid translocation|purinergic nucleotide receptor signaling pathway|lipid translocation,3.713e-05|7.135e-05|0.0003455|0.0003601|0.0003901,0.5858|0.5627|1|1|1,245.2|171.6|74.62|73.03|70.05
