Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
1,20,0.4069,77.31,15300.0,0.005013,1.0,A1BG ACR ANHX C8orf33 CHAMP1 MZF1 PARD6G PCMTD2 PGBD2 RABL2B SLC27A5 ZBTB45 ZNF10 ZNF132 ZNF324 ZNF324B ZNF497 ZNF672 ZNF891 ZSCAN22,"regulation of transcription by RNA polymerase II|regulation of transcription, DNA-templated|regulation of nucleic acid-templated transcription|regulation of RNA biosynthetic process|regulation of RNA metabolic process",6.989e-06|0.0001157|0.0001161|0.0001176|0.0002347,0.1102|0.9129|0.6102|0.4639|0.7406,4.38|3.27|3.269|3.264|3.03
2,86,0.2362,863.2,68990.0,0.012329999999999999,1.0,A1CF ACTA2 ADIRF AFAP1L2 AGAP5 AGAP6 AGAP9 ANK3 ANKRD22 ANXA7 ANXA8L1 AP3M1 CALHM3 CEP57L1 CFAP70 COL13A1 COMTD1 CXCL12 CYP17A1 CYP26A1 CYP26C1 CYP2C19 CYP2C8 CYP2C9 DDX50 DNAJB12 DUPD1 DUSP13 FAM25A FFAR4 GDF2 GPRIN2 GSTO1 GSTO2 HKDC1 IDE IFIT1 IFIT1B IFIT2 IFIT3 IFIT5 LDB3 LIPA LIPF LIPJ LIPK LIPM LIPN LRRC18 LRRC20 MORN4 MYOZ1 NUTM2A NUTM2B OPN4 OR13A1 PAPSS2 PDZD7 PLA2G12B PNLIPRP1 PPP3CB PSD PTPN20 RET SAMD8 SEMA4G SFTPA1 SFTPA2 SFXN2 SHLD2 SORCS1 SORCS3 SRGN SYNPO2L SYT15 TMEM72 UNC5B WASHC2C ZNF22 ZNF239 ZNF32 ZNF33B ZNF37A ZNF485 ZNF488 ZNF503,lipid catabolic process|cellular response to type I interferon|omega-hydroxylase P450 pathway|xenobiotic metabolic process|response to type I interferon,7.207e-07|1.421e-05|1.487e-05|1.711e-05|2.08e-05,0.01137|0.1121|0.07816|0.06749|0.06562,7.878|17.35|79.83|11.59|15.97
3,50,0.2915,357.1,38860.0,0.009082999999999999,1.0,A2M APOLD1 C12orf60 C3AR1 CLEC12A CLEC12B CLEC1B CLEC2A CLEC2B CLEC4A CLEC4C CLEC4D CLEC4E CLEC6A CLEC7A CLEC9A GALNT8 GYS2 IAPP KCNA1 KCNA5 KCNA6 KLRC1 KLRC4 KLRF1 KLRG1 PIANP PKP2 PRB1 PRB4 PRH2 PZP RERG RERGL SLC2A3 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 STYK1 TAS2R10 TAS2R13 TAS2R14 TAS2R19 TAS2R20 TAS2R30 TAS2R50 TAS2R7 TAS2R8 TAS2R9,detection of chemical stimulus involved in sensory perception of bitter taste|sensory perception of taste|sensory perception of bitter taste|detection of chemical stimulus involved in sensory perception of taste|sodium-independent organic anion transport,1.346e-15|3.674e-15|3.771e-15|4.57e-15|1.554e-07,2.123e-11|2.898e-11|1.983e-11|1.802e-11|0.0004902,101|59.39|88.64|86.53|101
4,22,0.4074,94.11,14340.0,0.0065,1.0,ADAT2 ALKBH8 CTU1 CTU2 DPH3 DUS2 EIF1 ELP5 ELP6 METTL1 MOCS3 NR2C2AP PDAP1 PPP1R15B PUS3 RNF25 SSB TRMT1 URM1 WDR4 XPOT ZPR1,tRNA modification|tRNA processing|RNA modification|tRNA metabolic process|ncRNA processing,1.27e-34|5.168e-32|2.961e-30|8.139e-30|1.241e-23,2.003e-30|4.076e-28|1.557e-26|3.209e-26|3.915e-20,162.1|110.5|85.81|80.6|33.77
5,7,0.8653,18.17,4680.0,0.003856,0.9992989999999999,AVEN DIS3L FOCAD HBS1L PELO SKIV2L TTC37,RNA catabolic process|nucleobase-containing compound catabolic process|heterocycle catabolic process|cellular nitrogen compound catabolic process|aromatic compound catabolic process,5.311e-09|4.237e-08|7.236e-08|7.762e-08|9.317e-08,8.377e-05|0.0003342|0.0003804|0.0003061|0.0002939,59.8|39.23|35.19|34.7|33.43
6,101,0.2831,1430.0,77400.0,0.018090000000000002,1.0,ADORA2A AIFM3 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 C22orf31 C22orf46 CACNA1I CASTOR1 CBY1 CCDC116 CCDC157 CRYBA4 CRYBB1 CRYBB3 CYTH4 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FOXRED2 GAL3ST1 GGT1 GGTLC2 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 KLHL22 LRRC75B LZTR1 MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NIPSNAP1 OSBP2 P2RX6 PNPLA5 RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF215 RSPH14 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SELENOM SEPT3 SEPT5 SERHL2 SGSM1 SIRPA SLC5A1 SLC5A4 SLC7A4 SPECC1L SULT4A1 SUSD2 SYNGR1 TANGO2 TBC1D10A TCN2 TEX33 THAP7 TNRC6B TOP3B TPST2 TRIOBP TSSK2 TST TUBA8 UPB1 USP18 VPREB1 YPEL1 ZDHHC8 ZNF74,DNA cytosine deamination|pyrimidine nucleoside catabolic process|cytidine metabolic process|cytidine catabolic process|cytidine deamination,1.069e-10|1.219e-10|2.458e-10|2.458e-10|2.458e-10,1.686e-06|9.617e-07|1.292e-06|9.692e-07|7.753e-07,118.8|60.27|99.01|99.01|99.01
7,5,0.4384,4.3839999999999995,4012.0,0.0010890000000000001,0.996692,A4GNT CASR IFT80 KATNAL2 MRPS12,negative regulation of epithelial cell proliferation|connective tissue development|articular cartilage development|osteoblast proliferation|receptor localization to non-motile cilium,0.0004085|0.0009569|0.0009706|0.001456|0.001456,1|1|1|1|1,62.89|40.78|1373|823.8|823.8
8,19,0.5355,91.57,12560.0,0.007215000000000001,1.0,AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201,intracellular transport of virus|tRNA-containing ribonucleoprotein complex export from nucleus|tRNA export from nucleus|transport of virus|multi-organism localization,4.954e-32|1.948e-31|1.948e-31|2.25e-31|3.37e-31,7.815e-28|1.536e-27|1.024e-27|8.874e-28|1.063e-27,281|414.5|414.5|248.8|240.9
9,7,0.4249,8.924,5835.0,0.001523,0.9992989999999999,AACS ADAMTS3 DISP1 FAM78B GNG4 SRRM5 TRAFD1,response to oleic acid|positive regulation of vascular endothelial growth factor signaling pathway|vascular endothelial growth factor production|cellular response to testosterone stimulus|diaphragm development,0.002376|0.002376|0.002715|0.003054|0.003054,1|1|1|1|1,490.4|490.4|420.3|367.8|367.8
10,24,0.3408,94.07,19280.0,0.004843,1.0,AADAC ARHGEF26 CPA3 CPB1 ERICH6 GPR171 GPR87 HTR3D HTR3E IGSF10 NPHP3 P2RY12 P2RY13 P2RY14 PLSCR1 PLSCR2 PQLC2L SCHIP1 SELENOT SERPINI1 SERPINI2 TFDP2 TM4SF18 TM4SF4,G protein-coupled purinergic nucleotide receptor signaling pathway|purinergic nucleotide receptor signaling pathway|negative regulation of adenylate cyclase activity|plasma membrane phospholipid scrambling|negative regulation of cyclase activity,1.575e-11|3.432e-09|0.0002957|0.0002957|0.0003832,2.485e-07|2.707e-05|1|1|1,306.5|91.29|85.81|85.81|74.62
